,평점,일시,감상평
1548,1,2020.06.07 20:01,코로나는 피했는데.. 이걸못피했네..
1549,1,2020.06.04 21:46,연기는 굉장히 잘했고 초반엔 너무 루즈해서 3류 영화인불 알았으나 후반부로 갈수록 박진감도 있고 스릴도 있고 좋았음!! 근데 평점 9점 넘는건 너무 오바임...7~8점 정도가 적당함
1550,1,2020.06.05 17:52,개연성을 생각하고 보시는분이라면 진짜 비추합니다
1551,2,2020.06.04 22:00,진짜 영화에 무슨 약을 먹인거야?아무리 관용을 갖고 보려해도울화가 치민다.
1552,2,2020.06.07 09:58,진짜 보지마세요. 평점들 알바야 뭐야 송지효는 진짜 믿거 배우인데.. 연기 진짜 안늘은다.. 그것도 능력이네...
1553,1,2020.06.05 18:05,감정이입 하나도 안돼고비현일적인요소 너무 먾고많이줘야 5점 짜리 영화 평점 보고 정말 알바라는게 있구나 느낌 개연성이고 뭐고 하나도 없음 이게 영화라니 평점 높게 주는 애들은 백프로 다 알바생내가 이런말 쓰는데 알바겠냐 화딱지나서 리뷰안쓰는데 쓰고간다 
1554,1,2020.06.05 01:39,"조조로 목금토일 6천원 할인 적용해서 1천원에 관람한 게 그나마 큰 위로가 되네요. 허술하고 종반으로 갈수록 산으로 가는 스토리, 억지스럽고 작위적인 설정과 답답한 전개, 맥빠지는 중반 이후 자연스럽게 이어지는 용두사미식 결말. 한국 스릴러 영화의 소재 고갈과 시나리오의 빈곤 그리고 연출의 식상함을 고스란히 드러내는 영화입니다. "
1555,1,2020.06.04 20:07,한국영화를 못해도 최소한 10년은 퇴보시킨영화...
1556,1,2020.06.05 18:44,이딴 영화에 평점 높게 주는 애들은 알바들 아니면 송지효 팬들인 듯 그리고 도대체 뭘 보고 송지효가 연기를 잘한다는 건지 연기가 늘었다 정도지 아직 극을 이끌만한 능력도 몰입감을 주는 배우도 역시 아니다는 생각이 들었음 
1557,1,2020.06.04 20:15,"김무열씨는 항상 암걸리는 대본만 받는 것 같네요..연기는 잘 하셨는데,유행했던 스토리 짬뽕해서 대충 만들고,코로나도 유행하는데 구냥 보지마세여^^ 알바걸레들아 비추박지마"
1558,1,2020.06.04 19:39,평점 다는거 처음인데 진짜 OOO기임 기획 연출 기법 스토리 괜찮은게 하.나.도 없음 괜찮은거 찾는게 일이다.. 아 하나 찾으라면 김무열이랑 송지효 연기는 진짜 좋은거 인정 근데 댓글알바도 사람인지 스토리 칭찬하는건 없네 근데 십점은 에바 아니냐? ㅋㅋㅋㅋ 
1559,1,2020.06.04 22:49,이게영화냐?진짜 배우들도 시나리오 안보고 영화고르니?니네 진짜 이러면 안됐어!
1560,3,2020.06.04 13:16,음향으로 깜짝깜짝 놀라게 하려고만 하고연기들도 두어명 빼곤 어색그자체 이야기는 갑자기 산으로 가고 총체적난국임
1561,1,2020.06.05 07:19,어제 저녁 6시 50분 영화 평점 2.9점 오늘 아침엔 갑자기 9점대..ㅋㅋ 여러분 뭔말인지 아시죠~~?
1562,7,2020.06.11 11:32,기생충+겟아웃 섞은 느낌
1563,8,2020.06.07 16:27,쏘쏘 나쁘지 않은데 용두사미...
1564,6,2020.06.06 01:41,기생충+기억의밤+신천지
1565,6,2020.06.06 00:02,절대9점까지는아니고 6_6.5정도 킬링타임으로 좋았습니다
1566,8,2020.06.04 15:32,참돔이랑 참조기는 좋은데 참부모랑 참아이는 싫다
1567,8,2020.06.04 14:09,에이 신천지같은 넘들 캬아악 퇘엣
1568,7,2020.06.10 00:20,뭔가 신선한듯 뻔한 스토리야...
1569,4,2020.06.09 23:04,"긴장감, 충격적인 결말, 속도감, 몰입도 등 이 영화(미스터리 스릴러)는 빼먹은 것이 너무나도 많다."
1570,6,2020.06.09 19:43,결국 사이비종교 진부허다
1571,5,2020.06.09 15:26,방금 강서 마곡 메가박스에서 보고 왔음 / 오후 1시 영화 ! / 단 3명이서 봤음 !결론 !기독교 = 태양신을 믿는 인류 최대 사기질 이다.교회 목사 = 양복입은 무당이다 !
1572,6,2020.06.08 20:55,애매하네. 그런대로 시간때울만 함.
1573,10,2020.06.07 16:36,
1574,10,2020.06.07 16:07,오 재미있었음  연기를 잘하심그리고 보는내내 암걸릴뻔ㅋ
1575,9,2020.06.07 14:53,사이비 개극혐 다 뒤졌으면 좋겠다
1576,6,2020.06.06 21:11,조금 억지스러운 내용도있지만 볼만하네요영화관 너무더워서 영화감상에 집중이안되네요6월6일 온도가 몇도인데 주말에 에어컨을안틀어줍니까 7시10분 위례롯데시네마너무하네요 감상하실분들은 다른 영화관으로찾아가시는걸 추천드립니다 
1577,8,2020.06.06 11:58,살짝 고구마 영화 답답함
1578,1,2020.06.11 08:07,ㅠ호홋6ㅗ
1579,4,2020.06.09 22:10,답답하네요 그냥 ㅋㅋ 심근경색올뻔했음
1580,4,2020.06.09 16:35,감분 종교임 결론이 이상함
1581,4,2020.06.09 14:31,연기들은좋은데 영화는 생각보다 스릴러치곤 그렇고 연기자가 아깝다 마지막장면도 그렇고
1582,3,2020.06.09 12:43,몬가 다 부족
1583,4,2020.06.08 16:55,김무열은 연기만...
1584,6,2020.06.08 16:28,여러가지를 담아내려고 노력한 흔적은 보이나 먼가 어설프다.
1585,6,2020.06.08 14:54,중후반부에 얼굴 흉터진 그 설명충 녀석이 나오자마자 긴장감이 100에서 0으로 떨어짐...
1586,6,2020.06.08 11:41,중후반부터 몰입도 겁나 깨짐 왜 평점이 이렇게 좋은거냐
1587,8,2020.06.07 21:39,"중반부까진 재밌었음 오, 이번엔 영화 꽤 잘 골랐네 했으나 결말이... 게다가 경찰들 끝까지 삽질파는 거 너무 답답했다. 그래도 배우들 연기는 좋았음 결말과 삽질땜에 뒷목 잡긴했으나 그나마 지루하지는 않았으니 만족.. "
1588,4,2020.06.07 17:21,김무열 연기 빼고 볼게 없었음
1589,10,2020.06.07 14:53,
1590,10,2020.06.07 14:47,연기가 정말 출중했다 스토리도 탄탄
1591,10,2020.06.07 14:33,???? ??????????
1592,10,2020.06.07 14:29,배제할 수 없는 대상인 가족을 대상으로 느끼는 내 존재의 부정 이를 통해 돌아본 내 삶에서 가족은 과연 어떤 의미이고 가족 구성원들이 어떤 모습으로 나를 보는지를 투영해 다시금 나를 객관적으로 돌아볼 수 있게 해 준 영화였다 
1593,10,2020.06.07 13:21,송지효 연기 대박이네요^^ 진짜 이번 영화 1위할만한것 같아요~ 연기력이 진짜 몰립감짱이고 보면서 소름돋았습니다!!
1594,4,2020.06.07 10:27,
1595,7,2020.06.06 23:04,어디서 본듯한 영화긴 한데 볼만은 함. 근데 좀 매끄럽지 못하고 결말도 허무하네요
1596,6,2020.06.06 20:31,마지막에 무열이형 침흘릴때 좀 웃겼습니다
1597,8,2020.06.06 19:05,전..개인적으로..예수정님이 제일 무서웠어요
1598,10,2020.06.06 18:34,열무님 연기는 역시나 명불허전이네유
1599,5,2020.06.06 11:59,송지효 뛸때 런닝맨 보는줄 마지막도 궁금한 열린결말이 아닌 억지로 쥐어짠듯한.... 초반에 흥미도 떨어지고 그럭저럭
1600,6,2020.06.06 00:36,오랜만에 개봉한 영환데 오랜만에 괜찮은 스릴러였음
1601,5,2020.06.05 18:27,딱 무난한 영화다. 보통준다.
1602,2,2020.06.11 08:27,개연성이 너무 떨어지는듯..
1603,1,2020.06.11 01:24,결백과 침입자 둘다 같은날 6월10일에 보았는데 비교가 많이 된다 ㄱㅂ 봐라 ㅊㅇㅈ보지말고연기력은 좋다 다만 스토리가 답답하고 나까지 정신병 있게 만들어주는 영화
1604,2,2020.06.10 23:17,
1605,2,2020.06.08 23:32,
1606,8,2020.06.08 00:34,
1607,10,2020.06.07 22:29,오랜만에 본영화인데 기대가없어서그런괜찮았어요 후반부에약간텐션이느려지는거말고요
1608,10,2020.06.07 21:03,
1609,4,2020.06.07 19:42,끝으로갈수록 좀 어이가 없기도하고...재미는 별로.
1610,10,2020.06.07 13:34,오랜만에 긴장감 있는 영화였습니다. 배우들 연기도 좋고 특히 주연배우 몰입감이 장난 아니더군요. 시간 가는줄 모르고 지켜봤습니다. 극장가서 꼭 보세요.
1611,4,2020.06.05 18:13,와...남자 주인공 정신력이 진짜 대단하다고 생각하네요ㅋㅋㅋ송지효 정체가 무엇인가...악령 같은 존재 인가사이코패스 인가사이비 인가 했는데....신천지 급 사이비 였다니그냥 신천지 같은 영화 였어요잘려고 하다가 사이비들이 조작하고 다니는게 소름이여서 다 봐버렷네요귀곡성 & 조작된 도시 섞은 영화신천지를 다시금 떠올리게 만드는 영화였습니다.내 주위의 지인들이 신천지였다면 소름 돋겠네요 
1612,1,2020.06.09 23:55,"호불호 엄청 갈리는 재미없다는 영화도 매우 흡족해하며 잘 보는 편인데 살다 살다 이렇게 짜증나는 영화는 처음 봤어요. 영화 시작부터 끝날 때까지 고구마 100개 먹은 것 마냥 답답하고, 짜증나고 스트레스 받아요 ㅋㅋ 배우들 연기력이 너무 아까운 영화였어요 덕분에 하루종일 기분 안 좋아서 애꿎은 남자친구한테 잔뜩 화내고 집에 왔습니다^^ "
1613,8,2020.06.09 18:37,한국영화 잘 만드네요 진짜재미있게 잘 봤습니다 주연배우들 연기 잘 합니다
1614,10,2020.06.09 17:52,송지효님의 넘사벽 연기 후회없는 지출 감사합니다
1615,10,2020.06.09 14:16,연기가 무서운건지 소리가 무서운건지 겁나 무섭네요
1616,10,2020.06.09 13:49,긴장감있고 스토리 좋았음 무엇보다 김무열연기가 미쳤음
1617,9,2020.06.08 22:33,"연기력도 좋았지만 스토리가 흥미로웠다. 실제로도 있을 법한 스토리에, 몰입도가 높은 연기력, 반전, 결말 모든게 완벽에 가까운 영화였다. 영화 후반 부분, 송지효의 손 놓임 이후 연기는 좀 웃겼다."
1618,2,2020.06.08 18:08,스토리  전개가 이상하고 기분 나쁘다.
1619,3,2020.06.08 17:18,송지효 연기말고는..너무 불만족이였음. 남주가 좀 더 머리를 쓸 줄 알았으면 더 긴장감 넘쳤을 것 같은데 답답해죽는줄. 복선깔아둘 수 있는건 많았는데 다 밀어버린것같은 허무함이였다.
1620,10,2020.06.07 21:30,연기를 너무 잘해요. 송지효 대표작이 될듯!! 긴장감 대박이었어요
1621,10,2020.06.07 21:02,저는 진----짜!!! 재미있게 봤고요 약간영화 연출 자체가 일반 사실적인 영화랑 다르게연기스타일도 기괴하고 일부러 더 그러신것 같아요내용이 전혀 예측이 안되고 근데 뒤로가서 빵!!!! 터짐!!!! 무엇보다 송지효 언니가 얼굴도 예쁘지만 연기력으로 확실하게 자리매김한 영화 인듯 요 ..!!  눈빛 하나로 소름돋았어요 
1622,10,2020.06.07 20:56,솔직히 첨엔 내용이 별로 재미없었는데 중간으로 가면 갈수록 스릴도 넘치고 꿀잼이었음ㅎ 특히 배우들 연기가 다 장난아닌듯.. 특히 지효누나의 연기보고 더빠졌음ㅎ 기회가 되면 한번더 보고싶은 영화임ㅎ
1623,10,2020.06.07 20:33,여기 영화에 대해서 모르는 분들이 많으시네 평점 1점한 사람들 관람 평 보니까 참 가관이다 ㄷㄷㄷ
1624,2,2020.06.07 19:28,노잼... ㅠ시간아까움.. 연기는좋은데... 만화도아니구유치찬란뽕짝 개연성 똥망이에오...
1625,2,2020.06.06 23:32,어줍잖게 그 이단 저격하는거 같은데 먼 저격도 아니고 무서운것도아니고 그냥 클리셰
1626,6,2020.06.04 19:40,배우 두분의연기는 너무 굿 보기좋았는데뭔가 보고나니 좀 허무한느낌결정적인건 신천지 저격하려고 만든건 확실한듯
1627,9,2020.06.09 14:05,몰입감 있고 깜짝 놀랄때가 많았는데 재밌게 봤음 ㅋㅋ
1628,2,2020.06.09 01:08,별로내요 흠 평점이 높은게신기해ㅔ
1629,2,2020.06.08 21:52,개재미없음 줄거리 다 예상 가능하고 긴장감 1도 없음송지효만 예쁨;;
1630,2,2020.06.08 21:00,하....어디가서 하소연 할수도 없고....
1631,6,2020.06.08 17:00,"그래, 더이상 댓글알바에 속지 않기로했어.... 평점이 높길래 기대했는데, 전개가 별로였습니다.. 뭐라 할말이 없고, 6~7점대 영화 인거같음.. 근데 송지효님 연기는 잘하시더라. 그리고 영화가좀 불편함.."
1632,2,2020.06.08 14:58,영화관에서 드라마를 틀어주냐
1633,1,2020.06.08 14:44,네이버 평점 보고 영화보고 속은  느낌.딱 그겁니다.
1634,10,2020.06.08 02:39,귀신도 안 나오는데 무서워서 눈가렸어요두분 다 연기대박이에요
1635,2,2020.06.06 23:17,와 ㅈㄴ노잼 지루해 죽을뻔 댓글알바 개쩐다
1636,2,2020.06.06 23:05,정말 25년 살면서 처음으로 영화보다가 나왔습니다처음으로 리뷰 쓰는거구요 진짜네이버 영화평점 주작이 확실합니다. 진짜 준나 뻔한 클리셰에 수동적인 남자주인공 발암걸리는 조연까지  강력히 비추합니다
1637,1,2020.06.06 18:50,야 평점 다 광고다 영화보면서 예의없는 행동하는거 정말 싫어하는데 핸드폰해도 전화해도 이건 인정이다
1638,1,2020.06.06 18:25,이래서 한국영화는 그냥 불따로 봐야해
1639,1,2020.06.06 18:09,이게 나라냐 별로 악플을 쓰고싶은 마음은 없는데솔직히 객관적으로 봤을 때 몰입은 잘됐음!어느 부분이 잘됐냐면 진짜 이런 영화에 어떻게 결말을 낼지 궁금해서 몰입은 짱이였음 내가봤을 때 리얼보단 별로 인것.한줄평:배우연기는 좋았지만 연출과 스토리가 최저. 에바임 
1640,2,2020.06.05 20:48,
1641,2,2020.06.05 20:01,별1개도 아까운 영화.. 최악이다..시간아깝다ㅠㅠ
1642,4,2020.06.04 20:36,마지막에 그래서 유전자 검사 결과 진짜 유진인거예요 아닌거예요 너무 찝찝한 결말이었습니다
1643,10,2020.06.09 22:05,예측 할 수 없는 스토리 겁나 흥미진진
1644,2,2020.06.08 17:11,코로나 때문에 정말 오랜만에 영화보는데 정말 최악의 연출과 최악의 스토리였습니다.처음 평점 적는데 왜 1점은 못하나요?? ㅠㅠ알바님들 고생 많으십니다만 이건 정말 볼 영화가 아니에요 ㅠㅠ
1645,1,2020.06.08 15:48,왜 평점이 좋은지 진짜 나만 모르겠는건가 계속 스토리를 질질 끌어서 상영시간만 늘린거같은데 .. 개인적으로 질질 끄는 스토리 싫어하시면 보시는거 비추합니다
1646,10,2020.06.05 21:31,송지효가 오히려 착하고 김무열이 정신적으로 이상했던 연출 소름 ㄷ ㄷ 반전 대박
1647,4,2020.06.05 02:15,배우들의 연기만 돋보였던 영화... 전체적인 스토리가 별로였고 적용한 설정들이 부조화스럽다는 생각이 들었음. 설정들로 인해 답답한 기분도 들었음. 중반부부터는 영화 결말이 예상될 수 있도록 영화에서 친절히 알려줘서 그냥 계속 지루했음. 
1648,4,2020.06.04 23:30,재밌게보긴했는데 로만폴만스키 감독의 악마의 씨와 비슷해서 ... 리메이크가 아닐까 싶을 정도... 한국판 악마의 씨...
1649,10,2020.06.09 22:05,재밌어요 다들 연기도 너무 잘하시구 몰입감 좋아서 집중하고 봤네요
1650,4,2020.06.06 19:14,김무열 배우님 연기에도 어쩔 수 없는 오글거리는 스토리...  ㅠㅠ
1651,2,2020.06.05 17:33,개별로임 박스오피스에 한국영화가 지금 없는이유.
1652,2,2020.06.04 15:41,오늘 봤음.  보는 내내 고구마 100개 먹은 기분
1653,6,2020.06.08 01:31,봉지효는 쌍화점으로 돌아가자 좀 과분하다
1654,1,2020.06.05 20:45,하....할말이없다ㅋ
1655,2,2020.06.05 12:04,평점 뭐지~ ㅎㅎ
1656,3,2020.06.05 10:51,와 진짜 재미없음 잘뻔했다 김무열 연기만 볼만하고 그닥.. 왜 재밌다는지 이해 안 감
1657,2,2020.06.05 13:02, 알바적당히좀하자 화면움직일때마다 머리아퍼서땅 처다봄 송지호가 친동생 인지 아닌지도 결과없이끝 보고 나서 뭘 본건지 모르겠음  파란풍선 노란풍선  결과 는 관객들 상상 인건가 가짜동생이라고 생각함 영화 끝나고 재미없다 라고생각하게 하는 스토리임 쓸대없는긴장감 음악이 나오면서  그냥 뒤죽박죽 사이비종교에 미친 가짜동생이 한집에 침입해서 가족들 에게  이상한 약 을  음식에 넣어 먹게 하구 마지막 은 김무열 딸 을 제물로 바친다는 이것도 저것도 아닌 스토리  뭘 말하고 싶은지 영화의 뜻을 모르겠음    잃어버린 동생 을 말하고 싶은건지 사이비 종교 를 말하고 싶은 건지  이상한 영화 스토리였음 ! 영화보고 평점 봣더니 후기가 다 좋아 신기해서  이런게 알바구나 제대로 느낌  그냥 요즘 코로나로 볼거 없으니 힐링 한다 치고 볼수는 있지만 기대는 절대 하지마세요 여기서 비추 누루는 애들 다 알바임  적당히 해라 알바들아 
1658,2,2020.06.05 12:01,무열아 힘좀빼라. 진짜 악인전부터 못봐주겠다 진텐 리얼로다가
1659,1,2020.06.05 18:35,평점 믿고 보는데 보고 나서 너무 후회했다 다 알바인가 확신까지 들게 만들고 오죽하면 보는 와중에는 뛰쳐나가고 싶었다예고에 없는 이야기 덕분에 더 짜증이 났다김무열만 연기하는 느낌기대가 너무 컸던 건지 실망이 엄청나다 cgv 요즘 쿠폰 주던데 쿠폰 쓰고 4000원 주고 본 영화여도 돈이 아까울 지경반전있다는데 반전이 없는 게 반전인 건지올해 본 영화 중 최악이다 ㅠㅠㅠㅠ 
1660,2,2020.06.05 12:37,나는 알바도.악플러도 아님.객관적으로 얘기함.송지효 연기가.아깝네.김무열은 늘 어딘가.2프로 부족한 연기력.이 정도 시나리오로.제작.결심한 투자가에 박수.어린애를 신격화한다는 이상 허무맹랑 반전? 차라리.송지효가 외계인인게 더 신선하겠다.이 시국에 개봉한건.차라리ipt v로 넘기자는거겠지. 좀더 시나리오에 신경을 쓰면 좋겠다.좀더고민하고.좀 더.... 그냥 본 영화라도 기획전을 다시보시라. 
1661,2,2020.06.04 22:03,재미도없고..감동도없고...
1662,2,2020.06.05 00:53,알바들아니셈? 보는내내 짜증 스트레스 말도안되는 설정 남발 몰입안되는 케릭 으~!!!
1663,1,2020.06.04 15:34,실제관람후기 : 중반까지는 그럭저럭 볼만했는데 왜 그런일을 벌였는지 결말 시작될때부터 완전 개 폭망임 ㅉㅉ  배우들 연기는 괜찮은데 목적을 위해 저지른 일들이 전혀 앞뒤가 안맞는다.(굳이 그걸위해 그렇게 까지?) 이런 어정쩡한 결말을 보여주려고 그리 긴장감 있게 연기했냐 완전 뒤통(이게반전임) 맞은거 같다. 끝 마무리도 억지로 짜집기 하듯 맞춘 티가 팍팍나서 별로 였음. 
1664,10,2020.06.11 10:47,"제가 살짝 공포 느낌에 영화는 잘안보는 스타일이고 보고나서 또보고싶다라는 생각이안드는데 이영화는 또보고싶을 정도로 재미있고 개봉할때 기다린 보람도있어요. 팝콘,나쵸,콜라를 안먹고 볼정도로 집중하게 되요. 제가본 송지효 영화중 자칼이온다, 바람바람바람 보다 훨씬 재미있는것 같아요. 저는 추천해주고 싶어요. "
1665,7,2020.06.10 14:26,관계의 틈이 가장 얇아진 때에 파고드는 낯선 친절
1666,6,2020.06.07 15:37,볼만해요. 결말은 아쉽네요
1667,8,2020.06.07 12:05,클로젯+클리셰=침입자
1668,6,2020.06.06 12:49,어디선거  본 스토리임비슷한 일본 애니가  있었음전체 스토리는 아니고 에피소드 형식으로
1669,4,2020.06.09 13:53,연기자들 연기가 살림 스토리는 그닥.. 러닝타임이조오오오온내 김...첨에는 긴장감있다가 응??갑자기???
1670,6,2020.06.09 00:00,"솔직히 제목이랑 줄거리, 초반만 보고는 왜 송지효가 악역처럼 비춰지지 싶었는데 보니까 왜 그런지 알게 되었고 초반 스토리는 그래도 그럭저럭 괜찮았으나 가면 갈수록 좀 산으로 간 게 아쉬움... 그래도 확실한 건 송지효의 목소리가 나름 소소한 포인트가 되었던 거 같다고 생각됨 "
1671,6,2020.06.08 14:36,
1672,7,2020.06.07 19:21,끝에 유전자검사결과가 넘나 궁금했다는!!
1673,2,2020.06.07 18:00,송지효가 예쁘다영화보다가 화장실갔음
1674,10,2020.06.07 16:51,김무열이 잘생겨서 만점준다. 섹시
1675,2,2020.06.07 16:34,7광구 개봉날 영화관에서 본 사람인데 7광구를 뛰어넘는 망작이다. 보면서 스트레스 개 받아서 못 참고 영화관 박차고 나왔다. 시간과 돈 둘다 버리고 싶으면 봐라
1676,7,2020.06.07 14:04,기억의 밤이 더 재밌었습니다
1677,8,2020.06.07 11:31,허무맹랑한 후반부만 빼면 올해 최고의 영화 감독이 미쳤음
1678,6,2020.06.06 15:47,"긴장감은 높으나, 조악한 미술팀덕분에... 줌 웃으면서 봤어요.ㅜㅜ 배우들 연기가 아쉬웠어요ㅠ"
1679,3,2020.06.11 02:51,송지효도 신세계 이후론 영 이상한것만 찍네
1680,5,2020.06.10 23:21,"뭔가 애매스럽다,,, 일행과 어리둥절의 눈빛교환 3 회정도. 신선한듯 안신선한듯 뭔가 봤을법한 스토리."
1681,1,2020.06.10 22:17,돈낭비 시간낭비ㅡ.ㅡ에효 억지스토리에 헛웃음만 나옴. 이게왜1위?궁금하면 직접 보고 후회하시길..봐서 후회하는게 그나마 나을듯.
1682,2,2020.06.10 17:56,뻔한 스토리 지루한 전개 1점 줄려다 두배우 연기보고 2점드릴께요~
1683,4,2020.06.09 23:04,ㅡㅡ 하...한국영화 한계다 진짜..  코로나아님 보지도않음
1684,2,2020.06.09 15:57,스토리흐름이 답답하고 갑자기 사이비종교단체에 대한 이야기가 영화는 산으로 가고있고 결말또한애매
1685,5,2020.06.09 13:17,평점에 속지마라~ 방금보고 나왔는데... 후회한다!많이 부족하다...
1686,10,2020.06.07 23:03,
1687,6,2020.06.07 19:23,개연성 떨어지는 스토리와 결말부분은 허무하지만 꽤 볼만한 영화
1688,4,2020.06.07 19:06,장르가 미스터리답게 결말도 미스터리 같음.사운드가 비질 않아서 긴장감을 높여줌.다만 디테일한 요소나 장면들이 부족하고 안 풀린 것 같은 찝찝함이 느껴졌지만 장르가 미스터리라서 그런 거겠거니하고 이해했다.영화 4/5 정도가 고구마 먹는 느낌으로 답답하다가 남은 1/5에서 딱 풀리긴 하는데 좀 깔끔한 느낌은 들지 않음.추천하고 싶은 영화는 아니다. 
1689,10,2020.06.07 16:45,평 1점주는 똥들 = 무조건 신천지 쌩 또라이 똥들
1690,6,2020.06.06 23:42,고구마를 내리먹다가 나도모르게 사이다 한모금 마신 느낌이었습니다.
1691,4,2020.06.09 22:48,돈아껴 드립니다. 가지마세요
1692,2,2020.06.09 12:27,3류영화...돈아깝네여 ㅋㅋ
1693,6,2020.06.08 16:51,6개월 만에 극장에서 본 영화인데 너무 별로예요.
1694,4,2020.06.08 15:10,거참 이런 영화에 평론가들도 밥줄 끊길까봐 평점을 후하게 주네
1695,8,2020.06.07 22:41,중반까지 쫄깃쫄깃 했는데 중후반가면서 디테일한 부분에서 개연성이 조금 떨어지는 듯 해서 살짝 아쉬웠어요. 손감독님 다음 작품 기대합니다!
1696,3,2020.06.07 19:18,개연성 진짜 없고 중간중간 뜬금없는 씬이 등장한다... 긴장감 때문에 3점 준다... 여기 진짜 댓글 알바 있으니 알아서 주의하시길
1697,10,2020.06.07 14:16,김무열 연기 너무 좋았고 간만에 재밌는 한국영화 본것같아 기분이 좋았습니다
1698,4,2020.06.07 08:13,송지효 김무열 연기잘함.그런 그들도 마지막엔 연기붕괴 시키는 엄청난 스토리.처음 50분은 킬링타임 잘되는데 나머지 시간은 안가요.
1699,2,2020.06.06 18:10,결말이 OOO기임ㄹㅇ
1700,6,2020.06.04 14:10,영화 개봉도 전에 봤다하는 사람은 뭐임?
1701,2,2020.06.10 19:37,"초중반까지는 앞을 생각할 수 없는 전개에 뭔가 있으리라 생각하지만  중반 넘어가면서 사건의 실체가 드러나면 급 실망뜬금없는 ㅅㅇㅂ ㅈㄱ  어후~! 짜증나""결백""이나 볼걸"
1702,10,2020.06.10 17:31,왜재미없다그래요....몰입도 오졌는데ㅜㅜㅜ스토리 개신선ㅜㅜ잼써요 제발보세요
1703,1,2020.06.10 00:55,"진짜 성냥팔이 소녀의 재림 , 클레멘 타인을 이을 수작이다 아침에보고 아직까지 가슴이 답답해서 미칠거같다 제발 제발 제발 . . 후 진짜 제발 .."
1704,10,2020.06.09 19:02,김무열좋아해서 봤는데 송지효의 특유한 그 표정이 보는내내 소름돋았었음 그리고 신천지에 대해 잘 물들어놓음..
1705,2,2020.06.08 22:55,"처음에는 흐름을 모르니 긴장되고 보다 중간 후반부분부터는 전개도 허술하고, 장면에 이유도 없고~ 반전이라고 연출 한거 같은데 욕만 나오고... 뭐지? 이런다니깐.. 그리고 보면서 왜케 다른 영화들이 겹쳐보이는지 나만 그런가? 아무튼 리얼 이후로 최악의 영화로 생각 중-납득이 안되는 장면과 상황에 맞지 않는 장면 또 설명도 없는 스토리 관람자를 납득을 시켜 줘야하는 부분 등 말도안되는 &#39;그것&#39; 이 없었으면 이 영화는 만들수도 없었다... "
1706,10,2020.06.08 04:32,
1707,10,2020.06.07 23:28,진짜 너무 진짜 너무 너무 재밌어요...오랜만에 제대로 된 영화 봤어욤
1708,2,2020.06.07 19:45,침샘을 자극하더라구요입안에서 감도는 그것자리에 앉아 콜라와 먹는 그의 이름은 달콤팝콘 역시 맛있어 개꿀맛탱
1709,2,2020.06.07 19:00,쓰레기영화 돈이 아까움
1710,2,2020.06.06 23:20,댓글평 좋아서 믿고 봤는데 이렇게 답답하고 떡밥회수못하는 영화 처음 봄ㅡㅡ 연기만 자뢈
1711,2,2020.06.06 18:15,핵노잼. 시간 아까움 보지마세요 감독 스토리 발로씀
1712,2,2020.06.06 18:15,기억의 밤이 더 낫다핸드폰을 보게 됨..
1713,1,2020.06.06 18:13,겟아웃+곡성+기생충 이 합쳐진 총체적 난국....
1714,1,2020.06.05 23:47,OOOO  시간아깝다  이걸 영화라고 만들었냐?
1715,5,2020.06.05 13:57,"박평식 평론가의 평으로 대신합니다.""생게망게, 어색하고 터무니없는 중후반""각본도 치밀하지 않고 연출도 초보감독 티가 많이나는 영화입니다."
1716,2,2020.06.10 14:01,재미엄서요ㅠㅠ무슨내용인지...
1717,2,2020.06.08 15:33,평점 알바들인가... 시간아까웠습니다
1718,1,2020.06.08 14:12,"재밌없는데요 ? ㅠㅠ 이거 평점 왜 높아요?? 송지효 연기도 그냥,, 그렇던데,, 이상하네,,"
1719,2,2020.06.07 19:49,"내용이 산발적으로 전개되고, 결말도 너무 어이없습니다영화 보는 내내 중간에 나갈까 말까 고민했습니다..."
1720,2,2020.06.06 23:50,"내용이 산발적으로 전개되고, 결말도 너무 어이없습니다영화 보는 내내 중간에 나갈까 말까 고민했습니다..."
1721,10,2020.06.09 17:40,김무열의 연기 송지효의 소름돋는 연기 너무 잘해;;
1722,10,2020.06.09 17:39,긴장감의 연속..  잘못된 믿음이 얼마나 엄청난 결과를 갖고 오는지에 대해 생각해 본다...
1723,1,2020.06.07 20:12,아 정말.. 처음부터 나가고 싶었다..배우를 믿은 내가 잘못임....
1724,1,2020.06.06 23:05,진짜 별루다~비추누르면 알바~
1725,1,2020.06.06 23:02,와 다알바닼ㅋㅋㅋ. 존나재미없어...
1726,6,2020.06.05 14:16,일단 10점주는 인간들은 알바확실하다고 봅니다.극중 심리적 불안감을 연기한 김무열씨는 훌륭했고연기를 보는 나조차도 답답하고 정신사나웠음 송지효씨는 극중 반전부분에서 확실한 대비가 약했음 배우가 예능을한다는게 부작용이 있긴한듯 하네요전체적으로 연기는 괜찮았습니다하지만 이야기를 끌고가는 장치들이 부조화스러움현실적인것 같으면서도 비현실적인 이야기라간극을 좁히느라 쓰인 도구들이 공감가지 않는점이 아쉬운 부분이네요 
