,평점,일시,감상평
129,10,2020.06.04 22:24,배우분들 연기가 너무 리얼해서 너무 재미있었고 빠져 보게 되더라구용 김무열 넘 좋아용...
130,9,2020.06.04 16:44,그냥 소름 ... 요즘 코로나 때문에 문화 생활 없다가 간만에 영화 보는데 긴장하게 만드는 영화
131,10,2020.06.05 15:52,오랜만에 잼난거 봤네요후반부가 살짝 거시기한데진짜 재밌어요
132,10,2020.06.04 23:04,생각없이 봤는데 극이 진행될수록 너무 긴장하며 봤어요. 유진역의 지효씨 눈빛이 아직도 생생합니다. 추천하는 영화가 몇 없는데 너무 무겁지도 않으면서 재미있었어요.
133,10,2020.06.04 18:55,넘 긴장해서 봤더니 끝나고 배고플 정도였네ㅋㅋㅋ 간만에 쫀쫀한 서스펜스 굿
134,10,2020.06.04 18:52,호불호가 갈릴거 같긴 하지만 처음부터 끝까지 긴장감 있게 잘 봤습니다 배우들 연기도 잘해요
135,10,2020.06.04 20:57,송지효 이렇게까지 연기 잘한다 생각하지 못했는데 진짜 연기 대박이였다;
136,10,2020.06.04 19:40,배우들 연기에 탄탄한 스토리 그리고 뒤통수 후드려치는 결말까지 퍼펙
137,8,2020.06.04 16:04,킬링타임용 송지효 악역 잘어울려요
138,10,2020.06.04 15:57,별 한개준놈들은 영화본거 맞냐?ㅋㅋ연기만 봐도 잘나왔구만 지금 시국이 아쉽다 ㅋㅋ 다른때였으면 관객 많이 몰릴텐데
139,8,2020.06.05 14:23,역시 스릴러는 극장이지..
140,8,2020.06.04 15:44,오랫만에 영화관 관람 잼나게 봤어요.
141,10,2020.06.04 14:44,이영화는첨보는거라서어주흥미가높습니다
142,8,2020.06.04 15:04,나쁘지 않음. 김무열 연기 좋네. 적당히 긴장감 있고. 사이비 종교가 나뻐...
143,10,2020.06.05 15:56,와 진짜..! 오랜만에 영화관 갔는데 영화도 몰입도가 대박으로 너무 재밌어서 더 좋았네요 다들 보세요..!!
144,7,2020.06.04 16:20,"튼튼한 배우와 연기, 크게 부족함 없는 연출, 예상은 가능하지만 매력있는 반전, 한국이 특히나 좋아하는 확실한 끝맺음 여러모로 괜찮은 작품이었지만 모두 어디선가 본 것 같은 짬뽕 스토리, 하지만 꽤나 먹을만 한 짬뽕이다. "
145,10,2020.06.04 23:35,김무열 송지효 연기에 감탄하고 스토리에 감탄하고 너무 재밌게 봤습니다! 특히 송지효가 이런 스릴러 영화에 어울릴줄 몰랐는데 소름 끼쳤습니다
146,10,2020.06.04 15:59,너무 재미있게 봤습니다. 3월부터 기다린 보람이 있네요!
147,10,2020.06.08 11:21,송지효 연기의 재평가
148,10,2020.06.05 16:17,생각보다 너무 재밌었던 영화.. 기생충 느낌도 나고 잘만든 스릴러 영화인듯
149,10,2020.06.05 16:16,구성도 괜찮고 몰입도도 높습니다
150,10,2020.06.05 16:13,완성도 높은 작품이에요. 보는동안 속으로 계속 와...진짜 잘 만들었다 이생각이 들더라구요. 그리고 송지효님ㅎㄷㄷ진짜 연기 넘 잘하셔서 넘 무서웠어요... 진짜 잘 봤습니다 체고에요ㅠㅠ
151,8,2020.06.04 23:56,좋았던점. 송지효 연기 좋고 몰입됨. 연출 좋음 영화는 전체적으로 몰입도도 좋고 재미있고 괜찮음나빴던점. 김무열 연기가 전체적으로 좋지만 흥분하고 소리지르고 하는거 보면 답답함 너무 흥분만함 정말정말 답답하고 중간에 나와버리고 싶었던게 바로 스토리 개연성이 맞지않음 한두개가 아님. 판타지가 아닌이상 영화개연성은 정말 필수인데 스토리상 큰 틀에 맞추기위해 다수에 개연성을 포기해버림. 또 마지막에 뭔가 메시지를 준다고 억지로 좀 끼어넣는것도 좀 별로고... 
152,10,2020.06.04 20:14,송지효 캐스팅이 신의 한수
153,10,2020.06.04 20:08,중간중간 깜놀 스릴있고 재밌게 잘봤습니다~^^
154,10,2020.06.04 14:32,오래간만에 재밌게 본 국산영화 였습니다.^^ 긴장감 더하기 몰입감.. 좋았습니다. 마지막 장면은 누구나 궁금할것 같네요.
155,10,2020.06.05 03:20,"ㅠㅠㅠㅠ진짜 오랜만에 볼만한 영화나와서 넘 좋네요,, 뒷부분 신선한 충격이었어요 다들 연기 너무 잘하심 ㅜㅜㅜ 송지효님도 잘하지만 김무열 어머니역 맡으신분도,,진짜 소름돋게 잘하셨어요 짱!!!"
156,10,2020.06.04 22:54,"재밌던데요, 간만에 극장에서 봐서 그런가"
157,10,2020.06.04 21:10,연기자들의 연기가 일품입니다.
158,10,2020.06.04 20:39,기대이상이었어요 배우분들 연기도ㅎㅎ
159,10,2020.06.04 20:09,배우분들 연기력이 좋아서 푹 빠져 들었네여ㅋㅋㅋ 미스터리 스릴러 침입자 잘봤어여
160,10,2020.06.04 20:08,배우분들 연기와 영화 연출도 좋았어요
161,10,2020.06.04 20:07,"배우들 연기력, 스토리 모두 강추입니다"
162,10,2020.06.04 19:30,쫀쫀한 스토리 전개와 긴장감은 진짜 최고...
163,10,2020.06.04 19:20,스토리도 연출도 연기도 모두 좋았던 영화
164,10,2020.06.04 17:56,
165,8,2020.06.04 22:58,기대 이상이상!!!!물론 호불호가 있을지언정정말 후회없는 선택이었다~배우들에 연기에 박수를 보냅니다
166,10,2020.06.04 19:45,본적없는 소재인듯 ㅋㅋ 너무 재밌게 스릴 넘치게 봄
167,10,2020.06.04 19:44,두 배우의 연기력이 정말 뛰어났고 재밌게 봤습니다 오늘부터 김무열씨 팬이 될 것 같네요ㅎㅎ
168,10,2020.06.04 19:43,아니 송지효가 연기파배우였네? 하는 생각이 절로나옴..
169,10,2020.06.04 18:31,방금 보고왔는데 송지효 연기 쩔어요~
170,8,2020.06.04 16:28,"오늘 개봉해서 보고 왔습니다.처음부터 긴장감있고 , 두 배우님의 연기도 좋았습니다."
171,10,2020.06.04 17:35,침입자 긴장감 진짜 최고인듯 !!!
172,8,2020.06.06 17:26,전반적으로 어두운 분위기인데 송지효의 서늘한 연기가 다 했다
173,7,2020.06.04 12:29,밑에 댓 보니까 평식이형 드립 치는데 그 형 5점이면 잘 준거다 3점 4점이 10개중 7개는 될거다
174,10,2020.06.05 09:45,"중간 이후 반전이 조금 힘빠지게 하지만, 그 스포일러 생각을 안하고 집중해서 보면 볼만한"
175,10,2020.06.05 19:27,대구사이비종교가생각났지만  연기들도훌륭했습니다  역시  심이약하고 지푸라기잡을힘이 필요한분들한테  이런유혹에빠질것같아요..어려운시기에 다들 좋은생각하시고 같이이겨요~
176,7,2020.06.05 13:58,요즘볼영화가없었는데 스릴러개봉이라 보러갔네요 영화 스토리는 뭐 나쁘지않았어요괜찮은영화였어요
177,10,2020.06.08 12:16,"감독이 여고괴담때의 송지효 이미지가 강렬해서 캐스팅 했다고 했을때 과연 그럴까 했는데, 영화를 보니까 이해됐음. 송지효가 연기를 이렇게 잘했었나 놀랄만큼 미스테리한 공포감을 조성하는 인물 연기를 완벽히 소화함. 간만에 심장 쫄깃한 시간이었음. "
178,10,2020.06.05 15:48,"와,.. 저는 송지효가 이렇게 연기 잘하는줄 침입자 보고 처음 알았어요"
179,10,2020.06.04 21:24,영화 정말 재미있게 봤어요! 긴장감 짜릿하고 배우분들의 연기가 너무 좋아서 그만큼 더 몰입도있게 본거같아요! 진짜 지효언니 나오는 영화 드라마 거의 다봤던 팬인데ㅠㅠㅠㅠ응급남녀 이후로 언니한테 정말 잘 맞는 캐릭터를 만난거 같아요! 굿굿 
180,10,2020.06.04 21:22,연출도 섬세하고 연기도 좋았음송지효 연기 이렇게 잘하는지 처음 알았다
181,10,2020.06.04 20:38,"오랜만에 심짱 쫄깃한 영화 봤네요~ 스토리, 배우들 연기 넘 좋았어요~"
182,10,2020.06.04 20:37,끝까지 긴장하며 봤다 스릴 넘치고 송지효 김무열 조합 bb
183,10,2020.06.04 20:37,배우들의 연기력과 잘 짜여진 시나리오가 너무 좋았습니다..
184,10,2020.06.04 17:23,
185,10,2020.06.04 23:21,진짜 조조로 봤는데 너무 재밌었음 ... 완전 긴장감있어요 연기도 송지효 왜케 잘해요 ... 진짜 간만에 재밌는 영화봐서 좋아요
186,10,2020.06.04 20:14,별로기대안하고 봤는데 최근 본 영화중 가장 재미있었음
187,7,2020.06.04 18:11,실제 관람평 : 오늘 오전걸로 봤는데 김무열 송지효 연기 좋았음 이 영화는 기승전이 짧고 기승전결결결결임 결말이 끝날듯안날듯 이어짐 몰입도는 좋았고 마지막 스토리랑 개연성은 부족함 볼만하다 극장에 영화볼거없던데 이게 젤 나음 
188,10,2020.06.04 21:44,와 징짜 제가 절대 평점 안남기는 사람인데 완전 꿀잼이에요 방금 보고왔는데 너무 여운남고 계속 생각나서 평점 남기러 들어왔어여 꼭보세요진짜;;;;
